name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,solar_system_name,planet_radius,pl_orbsmax,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_met,st_logg,sy_vmag,sy_kmag,sy_gaiamag,releasedate
35,70 Virginis b,58.0,7.49 Jupiters,4.97,1996,1RXS J160929.1-210524,,330.0,,3000.0,8.0,,,1800.0,0.0,3993.0,1.31,,4.0,12.618,8.916,12.0572,2015-04-01
36,75 Ceti b,271.0,3 Jupiters,5.35,2012,,,,,,,,,,,,,,,,,,
37,7 Canis Majoris b,65.0,1.85 Jupiters,3.92,2011,1RXS J160929.1-210524,,330.0,1.664,2543.0,8.0,,,1800.0,0.0,4060.0,1.35,,,12.618,8.916,12.0572,2014-05-14
38,7 Canis Majoris c,65.0,0.87 Jupiters,3.92,2019,,,,,,,,,,,,,,,,,,
39,81 Ceti b,331.0,5.3 Jupiters,5.65,2008,2MASS J01225093-2439505,,,1.0,,,,,1600.0,0.0,3309.0,0.37,,4.86,14.244,9.198,12.9025,2015-09-03
40,8 Ursae Minoris b,533.0,1.31 Jupiters,6.83,2015,,,,,,,,,,,,,,,,,,
41,91 Aquarii b,144.0,3.2 Jupiters,4.25,2013,2MASS J12073346-3932539,,46.0,,1271.0,4.0,,,1150.0,0.0,2825.0,0.22,,5.03,,11.945,17.4076,2014-05-14
42,AB Pictoris b,163.0,13.5 Jupiters,9.128,2005,,,,,,,,,,,,,,,,,,
43,Alpha Arietis b,66.0,1.8 Jupiters,2.0,2010,30 Ari B,345.4,1.01,,2097.678,6.6,0.18,,,0.0,,1.13,,,7.09209,5.822,6.96085,2015-12-03
44,Alpha Tauri b,67.0,6.47 Jupiters,0.85,2015,,,,,,,,,,,,,,,,,,
45,AU Microscopii b,32.0,0.18 Jupiters,8.81,2020,30 Ari B,335.1,0.995,,3140.03,9.88,0.289,,,0.0,6300.0,1.13,0.245,4.5,7.09209,5.822,6.96085,2014-05-14
46,BD+03 2562 b,8540.0,6.4 Jupiters,9.58,2017,,,,,,,,,,,,,,,,,,
47,BD-06 1339 b,66.0,8.5 Earths,9.7,2013,47 UMa,1076.6,2.059,,774.86566,2.438,0.016,,,0.0,5829.16,1.14,0.026,4.33,5.03352,3.75,4.87837,2021-06-28
48,BD-06 1339 c,66.0,0.17 Jupiters,9.7,2013,,,,,,,,,,,,,,,,,,
49,BD-08 2823 b,135.0,12.7132 Earths,9.88,2009,47 UMa,1076.6,2.1,,778.6835,2.45,0.012,,,0.0,5882.0,,0.04,,5.03352,3.75,4.87837,2016-01-28
50,BD-08 2823 c,135.0,0.33 Jupiters,9.88,2009,,,,,,,,,,,,,,,,,,
51,BD-10 3166 b,276.0,0.59 Jupiters,10.08,2000,47 UMa,1100.8,2.11,,877.17,2.76,0.097,,,0.0,,,,,5.03352,3.75,4.87837,2014-08-21
52,BD-11 4672 b,89.0,0.65 Jupiters,9.99,2014,,,,,,,,,,,,,,,,,,
53,BD-11 4672 c,89.0,15.37 Earths,9.99,2020,47 UMa,1083.2,2.11,,826.32,2.6,0.049,,,0.0,,,,,5.03352,3.75,4.87837,2014-09-18
54,BD-13 2130 b,3095.0,9.78 Jupiters,9.45,2007,,,,,,,,,,,,,,,,,,
55,BD+14 4559 b,161.0,1.04 Jupiters,9.63,2009,47 UMa,2287.0,3.404,,157.96072,0.497,0.179,,,0.0,5829.16,1.14,0.026,4.33,5.03352,3.75,4.87837,2021-06-28
56,BD+15 2375 b,2525.0,1.061 Jupiters,10.31,2016,,,,,,,,,,,,,,,,,,
57,BD+15 2940 b,1408.0,1.11 Jupiters,9.046,2013,47 UMa,7586.0,7.73,,425.87,1.34,0.005,,,0.0,,,,,5.03352,3.75,4.87837,2014-09-18
58,BD-17 63 b,113.0,5.1 Jupiters,9.566,2008,,,,,,,,,,,,,,,,,,
59,BD+20 2457 b,5450.0,55.59 Jupiters,9.75,2009,47 UMa,19000.0,13.8,,479.92089,1.51,0.38,,,0.0,5829.16,1.14,0.026,4.33,5.03352,3.75,4.87837,2021-06-28
60,BD+20 2457 c,5450.0,12.47 Jupiters,9.75,2009,,,,,,,,,,,,,,,,,,
61,BD+20 274 b,4514.0,4.2 Jupiters,9.36,2012,51 Eri,,13.2,,635.66,2.0,,,700.0,0.0,,,-0.027,,5.21149,4.537,5.15806,2015-08-14
62,BD+20 594 b,588.0,22.2481 Earths,11.038,2016,,,,,,,,,,,,,,,,,,
63,BD+48 738 b,2910.0,0.91 Jupiters,9.14,2011,51 Eri,14965.0,14.0,,,,0.21,,,0.0,7295.0,1.49,,4.31,5.21149,4.537,5.15806,2015-12-03
64,BD+48 740 b,2215.0,1.7 Jupiters,8.699,2018,,,,,,,,,,,,,,,,,,
65,BD+49 828 b,1460.0,1.6 Jupiters,9.38,2015,51 Peg,4.2307969,0.05235,,147.47238,0.464,0.0042,,,0.0,5760.76,1.19,0.206,4.32,5.45309,3.911,5.28647,2021-06-28
66,Beta Cancri b,295.0,7.8 Jupiters,3.53,2014,,,,,,,,,,,,,,,,,,
67,Beta Pictoris b,64.0,11 Jupiters,3.85,2008,51 Peg,4.2293,,,149.3801,0.47,0.0,,,0.0,5773.0,1.29,0.2,4.32,5.45309,3.911,5.28647,2016-11-03
68,Beta Pictoris c,64.0,9 Jupiters,3.85,2019,,,,,,,,,,,,,,,,,,
69,Beta Ursae Minoris b,127.0,6.1 Jupiters,2.08,2014,51 Peg,4.23077,0.052,,148.738,0.468,0.0,,,0.0,,,,,5.45309,3.911,5.28647,2014-08-21
70,CFBDSIR J145829+101343 b,75.0,10.5 Jupiters,,2011,,,,,,,,,,,,,,,,,,
71,CHXR 73 b,623.0,12.569 Jupiters,17.293,2006,51 Peg,4.231,0.052,,146.2018,0.46,0.0,,,0.0,,,,,5.45309,3.911,5.28647,2015-08-27
72,CI Tauri b,515.0,11.6 Jupiters,12.939,2019,,,,,,,,,,,,,,,,,,
73,CoRoT-10 b,1125.0,2.75 Jupiters,15.22,2010,55 Cnc,14.65171,0.1162,,267.29369,0.841,0.0048,,,0.0,5317.89,0.96,0.383,4.46,5.95084,4.015,5.72973,2021-06-28
74,CoRoT-11 b,1827.0,2.33 Jupiters,12.939,2010,,,,,,,,,,,,,,,,,,
75,CoRoT-12 b,3751.0,0.917 Jupiters,15.515,2010,55 Cnc,14.6,0.113,,254.25,0.8,0.0,,700.0,0.0,,,,,5.95084,4.015,5.72973,2015-02-12
76,CoRoT-13 b,3458.0,1.308 Jupiters,15.039,2010,,,,,,,,,,,,,,,,,,
77,CoRoT-14 b,4371.0,7.6 Jupiters,16.033,2010,55 Cnc,14.465314,0.11339,,266.966,0.84,0.0023,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-08-21
78,CoRoT-16 b,2740.0,0.535 Jupiters,15.63,2011,,,,,,,,,,,,,,,,,,
79,CoRoT-17 b,3001.0,2.43 Jupiters,15.46,2011,55 Cnc,14.648,0.11,,266.9772,0.84,0.051,,,0.0,5200.0,,0.23,4.5,5.95084,4.015,5.72973,2016-11-10
80,CoRoT-18 b,2838.0,3.47 Jupiters,15.0,2011,,,,,,,,,,,,,,,,,,
81,CoRoT-19 b,2512.0,1.11 Jupiters,14.007,2011,55 Cnc,14.67,0.115,,249.17872,0.784,0.0197,,,0.0,,,,,5.95084,4.015,5.72973,2016-10-13
82,CoRoT-1 b,2627.0,1.03 Jupiters,13.6,2008,,,,,,,,,,,,,,,,,,
83,CoRoT-20 b,2819.0,4.3 Jupiters,14.66,2011,55 Cnc,14.653,0.115,,266.9772,0.84,0.02,,,0.0,,,0.27,,5.95084,4.015,5.72973,2016-10-06
84,CoRoT-20 c,2819.0,17 Jupiters,14.66,2018,,,,,,,,,,,,,,,,,,
85,CoRoT-21 b,4563.0,2.26 Jupiters,16.0,2012,55 Cnc,14.65162,0.115,,261.881,0.824,0.014,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-05-16
86,CoRoT-22 b,1931.0,12.2 Earths,13.944,2014,,,,,,,,,,,,,,,,,,
87,CoRoT-23 b,1957.0,2.8 Jupiters,15.63,2011,55 Cnc,14.65126,0.1138,,260.61,0.82,0.0159,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-08-21
88,CoRoT-24 b,1957.0,5.7 Earths,15.18,2014,,,,,,,,,,,,,,,,,,
89,CoRoT-24 c,1957.0,28 Earths,15.18,2014,55 Cnc,14.651,0.1134,,254.25,0.8,0.004,,,0.0,5250.0,0.96,0.35,4.42,5.95084,4.015,5.72973,2014-05-14
90,CoRoT-25 b,3262.0,0.27 Jupiters,14.711,2013,,,,,,,,,,,,,,,,,,
91,CoRoT-26 b,5448.0,0.52 Jupiters,15.468,2013,55 Cnc,14.65152,0.115227,,263.9785,0.8306,0.0034,,,0.0,,,,,5.95084,4.015,5.72973,2014-10-29
92,CoRoT-27 b,3377.0,10.39 Jupiters,15.54,2014,,,,,,,,,,,,,,,,,,
93,CoRoT-28 b,1827.0,0.484 Jupiters,13.412,2015,55 Cnc,14.647,0.115,,289.21,0.91,0.03,,,0.0,,,,,5.95084,4.015,5.72973,2014-08-21
94,CoRoT-29 b,2495.0,0.85 Jupiters,15.239,2015,,,,,,,,,,,,,,,,,,
